chain_symbol,expiration_date,strike_price,option_type,side,order_created_at,direction,order_quantity,order_type,opening_strategy,closing_strategy,price,processed_quantity
BABA,2022-02-25,100.0000,put,buy,2022-02-23T14:57:40.404131Z,debit,1.00000,limit,long_put,,0.82000000,1.00000
FB,2022-02-25,212.5000,call,sell,2022-02-23T14:53:46.374145Z,credit,1.00000,limit,,long_call,0.73000000,1.00000
FB,2022-02-25,212.5000,call,buy,2022-02-23T14:32:45.578113Z,debit,1.00000,limit,long_call,,1.15000000,1.00000
NVDA,2022-02-18,255.0000,call,sell,2022-02-18T14:42:34.857043Z,credit,1.00000,limit,,long_call,0.18000000,1.00000
NVDA,2022-02-18,255.0000,call,buy,2022-02-18T14:37:28.504756Z,debit,1.00000,limit,long_call,,0.41000000,1.00000
NVDA,2022-02-18,220.0000,put,sell,2022-02-17T14:33:42.470434Z,credit,1.00000,limit,,long_put,0.17000000,1.00000
SPY,2022-02-22,430.0000,put,sell,2022-02-17T14:32:08.756847Z,credit,1.00000,limit,,long_put,1.17000000,1.00000
NVDA,2022-02-18,220.0000,put,buy,2022-02-16T20:07:33.435727Z,debit,1.00000,limit,long_put,,1.05000000,1.00000
SPY,2022-02-22,430.0000,put,buy,2022-02-16T19:22:59.667779Z,debit,1.00000,limit,long_put,,0.88000000,1.00000
SPY,2022-02-22,430.0000,put,sell,2022-02-16T17:38:13.460975Z,credit,1.00000,limit,,long_put,1.54000000,1.00000
SPY,2022-02-22,430.0000,put,buy,2022-02-16T16:52:26.985624Z,debit,1.00000,limit,long_put,,1.33000000,1.00000
NVDA,2022-02-18,220.0000,put,sell,2022-02-16T14:31:12.158058Z,credit,1.00000,limit,,long_put,1.20000000,1.00000
NVDA,2022-02-18,220.0000,put,buy,2022-02-15T20:18:09.185385Z,debit,1.00000,limit,long_put,,0.92000000,1.00000
FB,2022-02-18,235.0000,call,sell,2022-02-15T15:48:19.537817Z,credit,1.00000,limit,,long_call,0.40000000,1.00000
RIOT,2022-02-18,20.0000,call,sell,2022-02-15T14:41:17.873484Z,credit,1.00000,limit,,long_call,0.68000000,1.00000
RIOT,2022-02-18,20.0000,call,buy,2022-02-14T17:58:11.429559Z,debit,1.00000,limit,long_call,,0.38000000,1.00000
FB,2022-02-18,235.0000,call,buy,2022-02-14T16:19:29.523505Z,debit,1.00000,limit,long_call,,0.83000000,1.00000
SPY,2022-02-18,430.0000,put,sell,2022-02-11T15:16:24.767144Z,credit,1.00000,limit,,long_put,1.29000000,1.00000
SPY,2022-02-18,430.0000,put,buy,2022-02-11T14:58:59.382743Z,debit,1.00000,limit,long_put,,1.38000000,1.00000
FB,2022-02-18,245.0000,call,sell,2022-02-11T14:56:00.850825Z,credit,1.00000,limit,,long_call,1.15000000,1.00000
FB,2022-02-18,245.0000,call,buy,2022-02-10T14:45:29.435259Z,debit,1.00000,limit,long_call,,2.60000000,1.00000
AAPL,2022-02-11,180.0000,call,sell,2022-02-10T14:38:34.549411Z,credit,50.00000,limit,,long_call,0.03000000,50.00000
AAPL,2022-02-11,180.0000,call,buy,2022-02-10T14:32:43.391998Z,debit,50.00000,limit,long_call,,0.05000000,50.00000
FB,2022-02-11,240.0000,call,sell,2022-02-09T18:28:19.483113Z,credit,3.00000,limit,,long_call,0.97000000,3.00000
FB,2022-02-11,240.0000,call,sell,2022-02-09T18:28:02.508304Z,credit,1.00000,limit,,long_call,1.00000000,1.00000
FB,2022-02-11,240.0000,call,buy,2022-02-09T16:37:22.937742Z,debit,4.00000,limit,long_call,,0.56000000,4.00000
FB,2022-02-11,235.0000,call,sell,2022-02-09T15:31:35.432600Z,credit,2.00000,limit,,long_call,0.92000000,2.00000
FB,2022-02-11,235.0000,call,buy,2022-02-09T15:23:11.580783Z,debit,2.00000,limit,long_call,,0.90000000,2.00000
AAPL,2022-02-11,180.0000,call,sell,2022-02-09T14:31:23.271452Z,credit,20.00000,limit,,long_call,0.18000000,20.00000
AAPL,2022-02-11,180.0000,call,buy,2022-02-08T15:57:16.057294Z,debit,20.00000,limit,long_call,,0.05000000,20.00000
AAPL,2022-02-11,167.5000,put,sell,2022-02-08T15:23:43.544746Z,credit,2.00000,limit,,long_put,0.51000000,2.00000
AAPL,2022-02-11,180.0000,call,sell,2022-02-08T14:34:44.684720Z,credit,2.00000,limit,,long_call,0.05000000,2.00000
AAPL,2022-02-11,180.0000,call,buy,2022-02-07T18:36:16.179264Z,debit,2.00000,limit,long_call,,0.11000000,2.00000
AAPL,2022-02-11,167.5000,put,buy,2022-02-07T16:17:15.650146Z,debit,1.00000,limit,long_put,,0.65000000,1.00000
AAPL,2022-02-11,167.5000,put,buy,2022-02-04T16:34:37.623053Z,debit,1.00000,limit,long_put,,1.27000000,1.00000
AAPL,2022-02-11,167.5000,put,sell,2022-02-04T15:53:37.940033Z,credit,1.00000,limit,,long_put,1.57000000,1.00000
AAPL,2022-02-11,167.5000,put,buy,2022-02-04T15:29:42.758203Z,debit,1.00000,limit,long_put,,1.43000000,1.00000
PDD,2022-02-11,60.0000,call,sell,2022-02-04T15:17:57.051519Z,credit,1.00000,limit,,long_call,1.22000000,1.00000
PDD,2022-02-11,60.0000,call,buy,2022-02-04T15:05:28.771174Z,debit,1.00000,limit,long_call,,1.27000000,1.00000
AAPL,2022-02-11,167.5000,put,sell,2022-02-04T14:36:30.184248Z,credit,1.00000,limit,,long_put,1.80000000,1.00000
AAPL,2022-02-11,167.5000,put,buy,2022-02-03T19:29:10.290807Z,debit,1.00000,limit,long_put,,0.99000000,1.00000
