chain_symbol,expiration_date,strike_price,option_type,side,order_created_at,direction,order_quantity,order_type,opening_strategy,closing_strategy,price,processed_quantity
ATVI,2020-07-17,75.0000,call,sell,2020-06-17T13:53:26.703483Z,credit,1.00000,limit,,long_call,2.53000000,1.00000
ROKU,2020-06-26,130.0000,call,sell,2020-06-16T19:27:13.635797Z,credit,1.00000,limit,,long_call,3.05000000,1.00000
ROKU,2020-06-26,130.0000,call,buy,2020-06-16T18:57:52.553507Z,debit,1.00000,limit,long_call,,2.10000000,1.00000
ATVI,2020-07-17,75.0000,call,buy,2020-06-16T13:54:14.432607Z,debit,1.00000,limit,long_call,,2.45000000,1.00000
ROKU,2020-07-10,120.0000,call,sell,2020-06-15T13:47:56.435859Z,credit,2.00000,limit,,long_call,2.85000000,2.00000
ROKU,2020-07-10,120.0000,call,buy,2020-06-15T13:37:35.674779Z,debit,2.00000,limit,long_call,,3.40000000,2.00000
SPY,2020-06-19,294.0000,put,sell,2020-06-15T13:31:05.546004Z,credit,1.00000,limit,,long_put,4.50000000,1.00000
SPY,2020-06-19,294.0000,put,buy,2020-06-12T17:42:10.636789Z,debit,1.00000,limit,long_put,,4.73000000,1.00000
BYND,2020-06-26,170.0000,call,sell,2020-06-12T13:48:18.871099Z,credit,1.00000,limit,,long_call,3.65000000,1.00000
BYND,2020-06-26,170.0000,call,buy,2020-06-12T13:31:28.419718Z,debit,1.00000,limit,long_call,,4.90000000,1.00000
AMD,2020-06-19,75.0000,call,sell,2020-06-11T13:31:46.631851Z,credit,20.00000,limit,,long_call,0.05000000,20.00000
AMD,2020-06-19,75.0000,call,buy,2020-06-10T18:05:20.246048Z,debit,20.00000,limit,long_call,,0.12000000,20.00000
AMD,2020-07-02,70.0000,call,sell,2020-06-10T13:35:00.147176Z,credit,10.00000,limit,,long_call,0.48000000,10.00000
AMD,2020-06-26,65.0000,call,sell,2020-06-10T13:33:46.431843Z,credit,10.00000,limit,,long_call,0.76000000,10.00000
AMD,2020-06-26,65.0000,call,buy,2020-06-09T15:13:53.688534Z,debit,8.00000,limit,long_call,,0.33000000,8.00000
AMD,2020-07-02,70.0000,call,buy,2020-06-09T14:56:47.021219Z,debit,10.00000,limit,long_call,,0.27000000,10.00000
AMD,2020-06-19,60.0000,call,sell,2020-06-09T14:05:14.991383Z,credit,10.00000,limit,,long_call,0.64000000,10.00000
AMD,2020-06-19,60.0000,call,buy,2020-06-09T13:51:53.327442Z,debit,10.00000,limit,long_call,,0.62000000,10.00000
AMD,2020-07-02,63.0000,call,sell,2020-06-09T13:50:23.823573Z,credit,10.00000,limit,,long_call,0.61000000,10.00000
AMD,2020-07-02,63.0000,call,buy,2020-06-08T19:52:49.938453Z,debit,10.00000,limit,long_call,,0.41000000,10.00000
AMZN,2020-06-12,2600.0000,call,sell,2020-06-08T16:57:57.685223Z,credit,1.00000,limit,,long_call,7.55000000,1.00000
AMZN,2020-06-12,2600.0000,call,buy,2020-06-08T16:33:16.837159Z,debit,1.00000,limit,long_call,,7.20000000,1.00000
DKNG,2020-06-12,38.0000,put,sell,2020-06-08T13:38:49.246082Z,credit,2.00000,limit,,long_put,1.60000000,2.00000
